 COEFF OF TDMA:
   AW               AP                AE
  0.0000         11.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         21.0000         11.0000
 10.0000         10.0000          0.0000
