 P         Q
  0.0000          1.0000
  0.4762          0.5238
  0.6344          0.3656
  0.7132          0.2868
  0.7602          0.2398
  0.7913          0.2087
  0.8133          0.1867
  0.8296          0.1704
  0.8421          0.1579
  0.8520          0.1480
  0.8600          0.1400
  0.8666          0.1334
  0.8720          0.1280
  0.8766          0.1234
  0.8805          0.1195
  0.8838          0.1162
  0.8867          0.1133
  0.8892          0.1108
  0.8913          0.1087
  0.8932          0.1068
  0.8949          0.1051
  0.8964          0.1036
  0.8977          0.1023
  0.8988          0.1012
  0.8998          0.1002
  0.9008          0.0992
  0.9016          0.0984
  0.9023          0.0977
  0.9030          0.0970
  0.9036          0.0964
  0.9041          0.0959
  0.9046          0.0954
  0.9050          0.0950
  0.9054          0.0946
  0.9057          0.0943
  0.9061          0.0939
  0.9063          0.0937
  0.9066          0.0934
  0.9068          0.0932
  0.9070          0.0930
  0.9072          0.0928
  0.9074          0.0926
  0.9076          0.0924
  0.9077          0.0923
  0.9078          0.0922
  0.9079          0.0921
  0.9080          0.0920
  0.9081          0.0919
  0.9082          0.0918
  0.9083          0.0917
  0.9084          0.0916
  0.9084          0.0916
  0.9085          0.0915
  0.9086          0.0914
  0.9086          0.0914
  0.9087          0.0913
  0.9087          0.0913
  0.9087          0.0913
  0.9088          0.0912
  0.9088          0.0912
  0.9088          0.0912
  0.9088          0.0912
  0.9089          0.0911
  0.9089          0.0911
  0.9089          0.0911
  0.9089          0.0911
  0.9089          0.0911
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9090          0.0910
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  0.9091          0.0909
  1.0000          0.0000
